PublisherName, ExtensionName
amazonwebservices, aws-vsts-tools
ms-devlabs, vsts-developer-tools-build-tasks
blueprint, vsts-open-work-items-in-excel
ms-devlabs, BranchVisualization
MSPremier, BuildQualityChecks
4tecture, BuildTrafficLights
ms-devlabs, BuildandTestUsage
mmajcica, devenv-build
ms-devlabs, rm-import-export
ms, vss-code-search
colinsalmcorner, colinsalmcorner-buildtasks
ms-devlabs, CountdownWidget
AIR-Worldwide, definitions-extension
ms, vss-plans
ms-devlabs, estimate
ms-devlabs, workitem-feature-timeline-extension
ms-devlabs, FolderManagement
ms-vscs-rm, iiswebapp
ms-devlabs, vsts-extension-workitem-activities
carlowahlstedt, NewmanPostman
ms-devlabs, OfflineTestExecution
ms-vsclient, react-native-extension
ms-devlabs, utilitytasks
ms-devlabs, team-retrospectives
ms-devlabs, RollUpBoard
rvo, SendEmailTask
sonarsource, sonarqube
blueprint, vsts-extension-split-work
YodLabs, TagsManager2
ms-devlabs, team-calendar
ms-devlabs, TeamProjectHealth
ms-devlabs, TestCaseExplorer
ms, vss-testmanager-web
benjhuser, tfs-extensions-build-tasks
westpeaksconsulting, vsts-test-extensions
jabbera, windows-service-release-tasks
ms-devlabs, WorkItemDetails
ms-devlabs, WorkItemVisualization
